               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02008,            0.015167,          0.00058452,             0.92197,             0.93589,             0.96016,             0.78844,            0.010815,           0.0045544,          7.2406e-05,            0.004225,            0.004225,            0.004225
                  37,            0.019948,            0.014968,          0.00053316,             0.91998,             0.94231,             0.96162,             0.79026,            0.010745,           0.0045222,            7.68e-05,             0.00406,             0.00406,             0.00406
                  38,            0.019811,            0.015016,          0.00041122,              0.9279,             0.93598,             0.96141,             0.79299,            0.010684,           0.0044857,          7.5773e-05,            0.003895,            0.003895,            0.003895
                  39,            0.019647,            0.014848,          0.00046737,             0.92328,             0.94235,             0.96047,             0.79521,            0.010645,           0.0044562,          6.8193e-05,             0.00373,             0.00373,             0.00373
                  40,            0.019392,            0.014836,          0.00061943,             0.93014,             0.94397,             0.96317,             0.79884,            0.010549,           0.0044121,          6.5062e-05,            0.003565,            0.003565,            0.003565
                  41,             0.01946,            0.014703,          0.00042881,             0.92963,             0.94313,             0.96434,             0.80084,            0.010469,           0.0043838,          6.1103e-05,              0.0034,              0.0034,              0.0034
                  42,            0.019217,            0.014707,          0.00051528,             0.93145,             0.94138,             0.96485,             0.80412,            0.010356,           0.0043567,          5.7913e-05,            0.003235,            0.003235,            0.003235
                  43,            0.019124,            0.014524,          0.00038209,             0.93226,             0.94098,              0.9655,             0.80688,            0.010309,           0.0043307,           5.288e-05,             0.00307,             0.00307,             0.00307
                  44,            0.018801,            0.014311,          0.00036976,             0.92976,             0.94596,             0.96631,              0.8073,            0.010249,           0.0042995,          4.9682e-05,            0.002905,            0.002905,            0.002905
                  45,            0.018518,            0.014169,          0.00035946,             0.93428,             0.94582,             0.96747,             0.80928,            0.010186,           0.0042727,          4.8414e-05,             0.00274,             0.00274,             0.00274
                  46,            0.018931,            0.014102,          0.00034149,             0.93708,             0.94614,             0.96801,             0.81161,            0.010108,           0.0042424,          4.6156e-05,            0.002575,            0.002575,            0.002575
                  47,            0.018351,             0.01402,          0.00028809,             0.93831,             0.94849,             0.96945,             0.81293,            0.010053,           0.0042114,          4.4941e-05,             0.00241,             0.00241,             0.00241
                  48,            0.018399,            0.014011,          0.00039172,              0.9423,             0.94604,             0.96986,             0.81391,           0.0099997,           0.0041871,          4.3255e-05,            0.002245,            0.002245,            0.002245
                  49,            0.017884,            0.013723,          0.00034978,             0.94344,             0.94356,             0.96998,             0.81596,           0.0099505,           0.0041641,          4.1857e-05,             0.00208,             0.00208,             0.00208
                  50,            0.017933,            0.013916,          0.00025642,             0.94346,             0.94673,             0.97015,             0.81678,            0.009905,           0.0041423,          4.0732e-05,            0.001915,            0.001915,            0.001915
                  51,            0.017803,            0.013663,          0.00027989,             0.94524,             0.94654,             0.97028,             0.81781,           0.0098591,           0.0041205,          3.9698e-05,             0.00175,             0.00175,             0.00175
                  52,            0.017549,            0.013558,          0.00021995,             0.94525,             0.94539,             0.97035,             0.81938,           0.0098187,            0.004101,          3.8613e-05,            0.001585,            0.001585,            0.001585
                  53,            0.017344,            0.013471,          0.00016652,             0.94157,              0.9477,             0.97072,             0.82066,           0.0097789,           0.0040827,          3.7528e-05,             0.00142,             0.00142,             0.00142
                  54,             0.01728,            0.013373,          0.00024116,             0.93858,             0.95035,             0.97077,             0.82145,           0.0097444,           0.0040651,          3.5967e-05,            0.001255,            0.001255,            0.001255
                  55,            0.016934,            0.013174,          0.00017175,             0.93736,             0.95391,             0.97126,             0.82214,           0.0097108,           0.0040499,          3.4668e-05,             0.00109,             0.00109,             0.00109
                  56,            0.016906,             0.01309,          0.00020642,             0.93801,             0.95525,             0.97168,             0.82287,           0.0096757,           0.0040342,          3.3509e-05,            0.000925,            0.000925,            0.000925
                  57,            0.016701,            0.012986,          0.00020553,             0.93792,             0.95541,             0.97161,              0.8232,           0.0096464,           0.0040202,          3.2347e-05,             0.00076,             0.00076,             0.00076
                  58,            0.016749,            0.012983,          0.00018425,             0.93939,             0.95431,             0.97182,             0.82354,           0.0096173,            0.004006,          3.1311e-05,            0.000595,            0.000595,            0.000595
                  59,            0.016476,            0.012907,          0.00019454,             0.94208,             0.95375,             0.97224,             0.82375,            0.009594,           0.0039939,          3.0301e-05,             0.00043,             0.00043,             0.00043
